start_time,date,tokens_transferred_mean,tokens_transferred_median,tokens_transferred_total
1276992000000,2010-06-20,629.48860465,50,27068.01
1277078400000,2010-06-21,431.91011364,50,38008.09
1277164800000,2010-06-22,439.41746479,50,31198.64
1277251200000,2010-06-23,564.85714286,50,39540
1277337600000,2010-06-24,456.28690141,50,32396.37
1277424000000,2010-06-25,321.96666667,50,19318
1277510400000,2010-06-26,1399.27952381,50,58769.74
1277596800000,2010-06-27,224.42857143,50,12568
1277683200000,2010-06-28,579.29551282,50,45185.05
1277769600000,2010-06-29,429.55357895,50,40807.59
1277856000000,2010-06-30,606.38406593,50,55180.95
1277942400000,2010-07-01,368.29986301,50,26885.89
1278028800000,2010-07-02,1435.19905405,50,106204.73
1278115200000,2010-07-03,492.56756757,50,36450
1278201600000,2010-07-04,320.85344828,50,18609.5
1278288000000,2010-07-05,727.35630137,50,53097.01
1278374400000,2010-07-06,495.78205128,50,19335.5
1278460800000,2010-07-07,792.42435484,50,49130.31
1278547200000,2010-07-08,234.34638889,50,16872.94
1278633600000,2010-07-09,168.43478261,50,11622
1278720000000,2010-07-10,488.16047619,100,20502.74
1278806400000,2010-07-11,271.44821839,142.5,47231.99
1278892800000,2010-07-12,1584.9299025,730,2600869.97
1278979200000,2010-07-13,384.20371029,50,302368.32
1279065600000,2010-07-14,57.87825891,28.785,321455.85
1279152000000,2010-07-15,121.59903683,3,85848.92
1279238400000,2010-07-16,90.07994083,9.16,60894.04
1279324800000,2010-07-17,102.54417021,5,24097.88
1279411200000,2010-07-18,145.44391129,5,36070.09
1279497600000,2010-07-19,133.19138418,5,47149.75
1279584000000,2010-07-20,72.40276029,65.22,29902.34
1279670400000,2010-07-21,108.02554688,50,27654.54
1279756800000,2010-07-22,179.32859729,16.25,39631.62
1279843200000,2010-07-23,94.99903226,14.4,20614.79
1279929600000,2010-07-24,62.04533333,7.67,43741.96
1280016000000,2010-07-25,29.56371231,8.655,47065.43
1280102400000,2010-07-26,388.17799107,50,86951.87
1280188800000,2010-07-27,122.68923077,3.365,31899.2
1280275200000,2010-07-28,37.70118862,0.05,67560.53
1280361600000,2010-07-29,11.29889152,0.05,19061.23
1280448000000,2010-07-30,140.99174825,13.35,20161.82
1280534400000,2010-07-31,167.75532609,20.185,15433.49
1280620800000,2010-08-01,2160.80176,50,270100.22
1280707200000,2010-08-02,407.4575,50,63563.37
1280793600000,2010-08-03,96.16057007,14.65,40483.6
1280880000000,2010-08-04,171.61454082,50.025,33636.45
1280966400000,2010-08-05,137.38050505,50,40802.01
1281052800000,2010-08-06,87.65099057,4.125,18582.01
1281139200000,2010-08-07,214.17728814,24,25272.92
1281225600000,2010-08-08,53.82838542,2.525,10335.05
1281312000000,2010-08-09,330.61205128,54.13,77363.22
1281398400000,2010-08-10,227.32785235,50,33871.85
1281484800000,2010-08-11,306.63357542,50,54887.41
1281571200000,2010-08-12,89.73045714,50,15702.83
1281657600000,2010-08-13,116.48700997,50,35062.59
1281744000000,2010-08-14,105.89372549,50,16201.74
1281830400000,2010-08-15,156.635,50,16916.58
1281916800000,2010-08-16,226.06169935,71.86,69174.88
1282003200000,2010-08-17,264.52904762,50,49995.99
1282089600000,2010-08-18,153.23155738,50,37388.5
1282176000000,2010-08-19,107.37947368,50,20402.1
1282262400000,2010-08-20,128.60178261,50,29578.41
1282348800000,2010-08-21,228.86573964,50,38678.31
1282435200000,2010-08-22,132.58564935,50,20418.19
1282521600000,2010-08-23,113.94942308,50,17776.11
1282608000000,2010-08-24,128.62140244,50,21093.91
1282694400000,2010-08-25,106.78590604,50,15911.1
1282780800000,2010-08-26,90.17588608,4.925,14247.79
1282867200000,2010-08-27,233.31138211,50,28697.3
1282953600000,2010-08-28,98.39952658,10,16629.5199915
1283040000000,2010-08-29,87.80193878,5.425,8604.59
1283126400000,2010-08-30,76.88283334,3.84,13838.9100009
1283212800000,2010-08-31,156.23727625,50,40152.9799965
1283299200000,2010-09-01,128.95780268,10.99,28757.5899974
1283385600000,2010-09-02,210.52545455,50.15,34736.7000001
1283472000000,2010-09-03,192.62154839,101.15,29856.34
1283558400000,2010-09-04,322.86408602,99.75,30026.36
1283644800000,2010-09-05,939.79253425,50.03,137209.71
1283731200000,2010-09-06,630.01783332,50,75602.1399984
1283817600000,2010-09-07,149.51852459,50,18241.26
1283904000000,2010-09-08,101.42419538,1.775,17647.8099966
1283990400000,2010-09-09,180.78174602,50,34167.7499982
1284076800000,2010-09-10,77.4498907,5,14173.329998
1284163200000,2010-09-11,70.4717931,3.9,10218.41
1284249600000,2010-09-12,91.91772277,1.275,18567.3800003
1284336000000,2010-09-13,442.18086792,12,117177.9300001
1284422400000,2010-09-14,137.07725975,50,30294.07440528
1284508800000,2010-09-15,152.92548045,34.89,39913.55039648
1284595200000,2010-09-16,157.91557078,50,34583.51
1284681600000,2010-09-17,492.14464052,50,75298.13
1284768000000,2010-09-18,269.27518519,50,43622.58
1284854400000,2010-09-19,350.21410687,81.125,51131.25960352
1284940800000,2010-09-20,158.59961832,12,41553.1
1285027200000,2010-09-21,43.43520376,2.475,27711.6600001
1285113600000,2010-09-22,89.55008016,0.58,44685.49
1285200000000,2010-09-23,300.70733967,17,126597.79
1285286400000,2010-09-24,70.85663004,19.3,19343.86
1285372800000,2010-09-25,92.148,0.85,29948.1
1285459200000,2010-09-26,115.30517949,3.84,22484.51
1285545600000,2010-09-27,89.23264706,2.245,33373.01
1285632000000,2010-09-28,292.7478675,39.41,81676.6550332
1285718400000,2010-09-29,115.93311961,104.03,94021.76
1285804800000,2010-09-30,190.02296804,19.46,41615.03
1285891200000,2010-10-01,135.54276307,12.41776615,58283.38812108
1285977600000,2010-10-02,907.44849817,2,363886.84776813
1286064000000,2010-10-03,297.07857948,85,75755.03776625
1286150400000,2010-10-04,2189.02712599,284.32,556012.89000099
1286236800000,2010-10-05,790.70114286,241.57,193721.7800002
1286323200000,2010-10-06,514.83669492,49.995,121501.46000109
